head,tail,relation,head_name,tail_name,head_type,tail_type,score,predicted,actual
15222,9015,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB05903', 'KOS-1584', 'drug')",unknown,unknown,0.262657105922699,0,1.0
9015,15222,drug-gene,"('DB05903', 'KOS-1584', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.26265713572502136,0,1.0
9015,15222,drug-gene,"('DB05903', 'KOS-1584', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.26265716552734375,0,1.0
15222,9015,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB05903', 'KOS-1584', 'drug')",unknown,unknown,0.26265716552734375,0,1.0
7894,15222,drug-gene,"('DB03515', 'Equilenin', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.26334336400032043,0,1.0
15222,7894,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB03515', 'Equilenin', 'drug')",unknown,unknown,0.26334336400032043,0,1.0
7789,19035,drug-gene,"('DB03316', '1,4-Dioxane', 'drug')","('29924', 'EPN1', 'gene/protein')",unknown,unknown,0.26456111669540405,0,1.0
19035,7789,drug-gene,"('29924', 'EPN1', 'gene/protein')","('DB03316', '1,4-Dioxane', 'drug')",unknown,unknown,0.26456111669540405,0,1.0
15222,11480,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB12629', '3,5-diiodothyropropionic acid', 'drug')",unknown,unknown,0.2663910984992981,0,1.0
15222,11480,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB12629', '3,5-diiodothyropropionic acid', 'drug')",unknown,unknown,0.2663911283016205,0,1.0
11480,15222,drug-gene,"('DB12629', '3,5-diiodothyropropionic acid', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.2663911283016205,0,1.0
11480,15222,drug-gene,"('DB12629', '3,5-diiodothyropropionic acid', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.26639121770858765,0,1.0
19916,5616,drug-gene,"('3554', 'IL1R1', 'gene/protein')","('DB00026', 'Anakinra', 'drug')",unknown,unknown,0.26854532957077026,0,1.0
5616,19916,drug-gene,"('DB00026', 'Anakinra', 'drug')","('3554', 'IL1R1', 'gene/protein')",unknown,unknown,0.26854535937309265,0,1.0
16141,10736,drug-gene,"('213', 'ALB', 'gene/protein')","('DB08735', 'R,S-Warfarin alcohol', 'drug')",unknown,unknown,0.27745532989501953,0,1.0
10736,16141,drug-gene,"('DB08735', 'R,S-Warfarin alcohol', 'drug')","('213', 'ALB', 'gene/protein')",unknown,unknown,0.27745532989501953,0,1.0
8386,20136,drug-gene,"('DB04522', 'Dexfosfoserine', 'drug')","('3749', 'KCNC4', 'gene/protein')",unknown,unknown,0.2877022325992584,0,1.0
20136,8386,drug-gene,"('3749', 'KCNC4', 'gene/protein')","('DB04522', 'Dexfosfoserine', 'drug')",unknown,unknown,0.2877022325992584,0,1.0
18789,7791,drug-gene,"('2891', 'GRIA2', 'gene/protein')","('DB03319', '(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate', 'drug')",unknown,unknown,0.2900306284427643,0,1.0
7791,18789,drug-gene,"('DB03319', '(2S)-2-Ammonio-3-[5-(2-methyl-2-propanyl)-3-oxido-1,2-oxazol-4-yl]propanoate', 'drug')","('2891', 'GRIA2', 'gene/protein')",unknown,unknown,0.29003071784973145,0,1.0
7953,23030,drug-gene,"('DB03635', 'Ethanesulfonic acid', 'drug')","('5473', 'PPBP', 'gene/protein')",unknown,unknown,0.2929467558860779,0,1.0
23030,7953,drug-gene,"('5473', 'PPBP', 'gene/protein')","('DB03635', 'Ethanesulfonic acid', 'drug')",unknown,unknown,0.2929467558860779,0,1.0
16314,5661,drug-gene,"('2213', 'FCGR2B', 'gene/protein')","('DB00081', 'Tositumomab', 'drug')",unknown,unknown,0.30163702368736267,0,1.0
5661,16314,drug-gene,"('DB00081', 'Tositumomab', 'drug')","('2213', 'FCGR2B', 'gene/protein')",unknown,unknown,0.30163702368736267,0,1.0
17524,7887,drug-gene,"('2582', 'GALE', 'gene/protein')","('DB03501', ""Galactose-uridine-5'-diphosphate"", 'drug')",unknown,unknown,0.30412355065345764,0,1.0
7887,17524,drug-gene,"('DB03501', ""Galactose-uridine-5'-diphosphate"", 'drug')","('2582', 'GALE', 'gene/protein')",unknown,unknown,0.30412358045578003,0,1.0
17524,7887,drug-gene,"('2582', 'GALE', 'gene/protein')","('DB03501', ""Galactose-uridine-5'-diphosphate"", 'drug')",unknown,unknown,0.3041236102581024,0,1.0
7887,17524,drug-gene,"('DB03501', ""Galactose-uridine-5'-diphosphate"", 'drug')","('2582', 'GALE', 'gene/protein')",unknown,unknown,0.3041236400604248,0,1.0
7379,15174,drug-gene,"('DB02489', '9-Methylguanine', 'drug')","('1544', 'CYP1A2', 'gene/protein')",unknown,unknown,0.3042444884777069,0,1.0
15174,7379,drug-gene,"('1544', 'CYP1A2', 'gene/protein')","('DB02489', '9-Methylguanine', 'drug')",unknown,unknown,0.3042445778846741,0,1.0
7764,16141,drug-gene,"('DB03255', 'Phenol', 'drug')","('213', 'ALB', 'gene/protein')",unknown,unknown,0.3057652413845062,0,1.0
16141,7764,drug-gene,"('213', 'ALB', 'gene/protein')","('DB03255', 'Phenol', 'drug')",unknown,unknown,0.3057652711868286,0,1.0
11383,27841,drug-gene,"('DB12010', 'Fostamatinib', 'drug')","('79934', 'COQ8B', 'gene/protein')",unknown,unknown,0.3069002032279968,0,1.0
27841,11383,drug-gene,"('79934', 'COQ8B', 'gene/protein')","('DB12010', 'Fostamatinib', 'drug')",unknown,unknown,0.3069002330303192,0,1.0
7955,24139,drug-gene,"('DB03637', 'Guanidine-3-propanol', 'drug')","('5646', 'PRSS3', 'gene/protein')",unknown,unknown,0.3083614110946655,0,1.0
24139,7955,drug-gene,"('5646', 'PRSS3', 'gene/protein')","('DB03637', 'Guanidine-3-propanol', 'drug')",unknown,unknown,0.3083614110946655,0,1.0
7955,24139,drug-gene,"('DB03637', 'Guanidine-3-propanol', 'drug')","('5646', 'PRSS3', 'gene/protein')",unknown,unknown,0.3083614408969879,0,1.0
24139,7955,drug-gene,"('5646', 'PRSS3', 'gene/protein')","('DB03637', 'Guanidine-3-propanol', 'drug')",unknown,unknown,0.3083614706993103,0,1.0
15174,11583,drug-gene,"('1544', 'CYP1A2', 'gene/protein')","('DB13449', 'Proxyphylline', 'drug')",unknown,unknown,0.30853164196014404,0,1.0
11583,15174,drug-gene,"('DB13449', 'Proxyphylline', 'drug')","('1544', 'CYP1A2', 'gene/protein')",unknown,unknown,0.30853167176246643,0,1.0
15174,11583,drug-gene,"('1544', 'CYP1A2', 'gene/protein')","('DB13449', 'Proxyphylline', 'drug')",unknown,unknown,0.308531790971756,0,1.0
11583,15174,drug-gene,"('DB13449', 'Proxyphylline', 'drug')","('1544', 'CYP1A2', 'gene/protein')",unknown,unknown,0.308531790971756,0,1.0
11110,16141,drug-gene,"('DB09347', 'Acetrizoic acid', 'drug')","('213', 'ALB', 'gene/protein')",unknown,unknown,0.31288936734199524,0,1.0
16141,11110,drug-gene,"('213', 'ALB', 'gene/protein')","('DB09347', 'Acetrizoic acid', 'drug')",unknown,unknown,0.3128893971443176,0,1.0
11110,16141,drug-gene,"('DB09347', 'Acetrizoic acid', 'drug')","('213', 'ALB', 'gene/protein')",unknown,unknown,0.3128894567489624,0,1.0
16141,11110,drug-gene,"('213', 'ALB', 'gene/protein')","('DB09347', 'Acetrizoic acid', 'drug')",unknown,unknown,0.31288954615592957,0,1.0
24532,11448,drug-gene,"('5742', 'PTGS1', 'gene/protein')","('DB12445', 'Nitroaspirin', 'drug')",unknown,unknown,0.3201856315135956,0,1.0
11448,24532,drug-gene,"('DB12445', 'Nitroaspirin', 'drug')","('5742', 'PTGS1', 'gene/protein')",unknown,unknown,0.32018566131591797,0,1.0
7237,24532,drug-gene,"('DB02198', '2-Bromoacetyl Group', 'drug')","('5742', 'PTGS1', 'gene/protein')",unknown,unknown,0.32066094875335693,0,1.0
24532,7237,drug-gene,"('5742', 'PTGS1', 'gene/protein')","('DB02198', '2-Bromoacetyl Group', 'drug')",unknown,unknown,0.32066094875335693,0,1.0
24532,7237,drug-gene,"('5742', 'PTGS1', 'gene/protein')","('DB02198', '2-Bromoacetyl Group', 'drug')",unknown,unknown,0.32066094875335693,0,1.0
7237,24532,drug-gene,"('DB02198', '2-Bromoacetyl Group', 'drug')","('5742', 'PTGS1', 'gene/protein')",unknown,unknown,0.3206610083580017,0,1.0
11158,24532,drug-gene,"('DB11071', 'Phenyl salicylate', 'drug')","('5742', 'PTGS1', 'gene/protein')",unknown,unknown,0.32412904500961304,0,1.0
24532,11158,drug-gene,"('5742', 'PTGS1', 'gene/protein')","('DB11071', 'Phenyl salicylate', 'drug')",unknown,unknown,0.3241291046142578,0,1.0
10984,15174,drug-gene,"('DB09122', 'Peginterferon beta-1a', 'drug')","('1544', 'CYP1A2', 'gene/protein')",unknown,unknown,0.3253564238548279,0,1.0
15174,10984,drug-gene,"('1544', 'CYP1A2', 'gene/protein')","('DB09122', 'Peginterferon beta-1a', 'drug')",unknown,unknown,0.32535645365715027,0,1.0
20799,9690,drug-gene,"('4048', 'LTA4H', 'gene/protein')","('DB07196', 'N-methyl-1-(2-thiophen-2-ylphenyl)methanamine', 'drug')",unknown,unknown,0.3259827494621277,0,1.0
20799,9690,drug-gene,"('4048', 'LTA4H', 'gene/protein')","('DB07196', 'N-methyl-1-(2-thiophen-2-ylphenyl)methanamine', 'drug')",unknown,unknown,0.3259827494621277,0,1.0
9690,20799,drug-gene,"('DB07196', 'N-methyl-1-(2-thiophen-2-ylphenyl)methanamine', 'drug')","('4048', 'LTA4H', 'gene/protein')",unknown,unknown,0.32598280906677246,0,1.0
9690,20799,drug-gene,"('DB07196', 'N-methyl-1-(2-thiophen-2-ylphenyl)methanamine', 'drug')","('4048', 'LTA4H', 'gene/protein')",unknown,unknown,0.32598280906677246,0,1.0
7335,15619,drug-gene,"('DB02400', 'ES-936', 'drug')","('1728', 'NQO1', 'gene/protein')",unknown,unknown,0.3276998996734619,0,1.0
15619,7335,drug-gene,"('1728', 'NQO1', 'gene/protein')","('DB02400', 'ES-936', 'drug')",unknown,unknown,0.3276999294757843,0,1.0
7335,15619,drug-gene,"('DB02400', 'ES-936', 'drug')","('1728', 'NQO1', 'gene/protein')",unknown,unknown,0.3276999294757843,0,1.0
15619,7335,drug-gene,"('1728', 'NQO1', 'gene/protein')","('DB02400', 'ES-936', 'drug')",unknown,unknown,0.3276999294757843,0,1.0
8639,15222,drug-gene,"('DB04934', 'Rifalazil', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.3288049101829529,0,1.0
15222,8639,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB04934', 'Rifalazil', 'drug')",unknown,unknown,0.3288049101829529,0,1.0
15222,11575,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB13385', 'Dihydroergocryptine', 'drug')",unknown,unknown,0.3288237750530243,0,1.0
11575,15222,drug-gene,"('DB13385', 'Dihydroergocryptine', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.3288237750530243,0,1.0
15222,11575,drug-gene,"('1576', 'CYP3A4', 'gene/protein')","('DB13385', 'Dihydroergocryptine', 'drug')",unknown,unknown,0.3288239538669586,0,1.0
11575,15222,drug-gene,"('DB13385', 'Dihydroergocryptine', 'drug')","('1576', 'CYP3A4', 'gene/protein')",unknown,unknown,0.328823983669281,0,1.0
11485,14358,drug-gene,"('DB12670', 'Rolofylline', 'drug')","('134', 'ADORA1', 'gene/protein')",unknown,unknown,0.33001700043678284,0,1.0
14358,11485,drug-gene,"('134', 'ADORA1', 'gene/protein')","('DB12670', 'Rolofylline', 'drug')",unknown,unknown,0.3300170600414276,0,1.0
11383,16023,drug-gene,"('DB12010', 'Fostamatinib', 'drug')","('2030', 'SLC29A1', 'gene/protein')",unknown,unknown,0.33344122767448425,0,1.0
16023,11383,drug-gene,"('2030', 'SLC29A1', 'gene/protein')","('DB12010', 'Fostamatinib', 'drug')",unknown,unknown,0.33344125747680664,0,1.0
9128,19225,drug-gene,"('DB06226', 'Nelipepimut-S', 'drug')","('3105', 'HLA-A', 'gene/protein')",unknown,unknown,0.33845770359039307,0,1.0
9128,19225,drug-gene,"('DB06226', 'Nelipepimut-S', 'drug')","('3105', 'HLA-A', 'gene/protein')",unknown,unknown,0.33845776319503784,0,1.0
19225,9128,drug-gene,"('3105', 'HLA-A', 'gene/protein')","('DB06226', 'Nelipepimut-S', 'drug')",unknown,unknown,0.33845776319503784,0,1.0
19225,9128,drug-gene,"('3105', 'HLA-A', 'gene/protein')","('DB06226', 'Nelipepimut-S', 'drug')",unknown,unknown,0.33845776319503784,0,1.0
24525,8334,drug-gene,"('5741', 'PTH', 'gene/protein')","('DB04419', 'D-norleucine', 'drug')",unknown,unknown,0.3433695435523987,0,1.0
8334,24525,drug-gene,"('DB04419', 'D-norleucine', 'drug')","('5741', 'PTH', 'gene/protein')",unknown,unknown,0.3433695435523987,0,1.0
15301,6864,drug-gene,"('1594', 'CYP27B1', 'gene/protein')","('DB01436', 'Alfacalcidol', 'drug')",unknown,unknown,0.3440709114074707,0,1.0
6864,15301,drug-gene,"('DB01436', 'Alfacalcidol', 'drug')","('1594', 'CYP27B1', 'gene/protein')",unknown,unknown,0.3440709114074707,0,1.0
8040,20771,drug-gene,"('DB03814', '2-(N-morpholino)ethanesulfonic acid', 'drug')","('403', 'ARL3', 'gene/protein')",unknown,unknown,0.3442915081977844,0,1.0
20771,8040,drug-gene,"('403', 'ARL3', 'gene/protein')","('DB03814', '2-(N-morpholino)ethanesulfonic acid', 'drug')",unknown,unknown,0.3442915081977844,0,1.0
16865,6740,drug-gene,"('2328', 'FMO3', 'gene/protein')","('DB01254', 'Dasatinib', 'drug')",unknown,unknown,0.34598442912101746,0,1.0
6740,16865,drug-gene,"('DB01254', 'Dasatinib', 'drug')","('2328', 'FMO3', 'gene/protein')",unknown,unknown,0.34598445892333984,0,1.0
26656,5626,drug-gene,"('7035', 'TFPI', 'gene/protein')","('DB00036', 'Coagulation factor VIIa Recombinant Human', 'drug')",unknown,unknown,0.34676048159599304,0,1.0
5626,26656,drug-gene,"('DB00036', 'Coagulation factor VIIa Recombinant Human', 'drug')","('7035', 'TFPI', 'gene/protein')",unknown,unknown,0.34676048159599304,0,1.0
30246,11641,drug-gene,"('930', 'CD19', 'gene/protein')","('DB13881', 'Tisagenlecleucel', 'drug')",unknown,unknown,0.34686121344566345,0,1.0
11641,30246,drug-gene,"('DB13881', 'Tisagenlecleucel', 'drug')","('930', 'CD19', 'gene/protein')",unknown,unknown,0.34686121344566345,0,1.0
30246,11641,drug-gene,"('930', 'CD19', 'gene/protein')","('DB13881', 'Tisagenlecleucel', 'drug')",unknown,unknown,0.34686121344566345,0,1.0
11641,30246,drug-gene,"('DB13881', 'Tisagenlecleucel', 'drug')","('930', 'CD19', 'gene/protein')",unknown,unknown,0.3468612730503082,0,1.0
26448,7376,drug-gene,"('683', 'BST1', 'gene/protein')","('DB02483', 'Etheno-NAD', 'drug')",unknown,unknown,0.3470979332923889,0,1.0
7376,26448,drug-gene,"('DB02483', 'Etheno-NAD', 'drug')","('683', 'BST1', 'gene/protein')",unknown,unknown,0.3470979630947113,0,1.0
10674,26789,drug-gene,"('DB08604', 'Triclosan', 'drug')","('7173', 'TPO', 'gene/protein')",unknown,unknown,0.35146769881248474,0,1.0
26789,10674,drug-gene,"('7173', 'TPO', 'gene/protein')","('DB08604', 'Triclosan', 'drug')",unknown,unknown,0.35146772861480713,0,1.0
16141,8744,drug-gene,"('213', 'ALB', 'gene/protein')","('DB05134', 'Tanespimycin', 'drug')",unknown,unknown,0.3593294024467468,0,1.0
8744,16141,drug-gene,"('DB05134', 'Tanespimycin', 'drug')","('213', 'ALB', 'gene/protein')",unknown,unknown,0.3593294024467468,0,1.0
8773,29464,drug-gene,"('DB05197', 'Sofalcone', 'drug')","('873', 'CBR1', 'gene/protein')",unknown,unknown,0.36101529002189636,0,1.0
