drug_id,drug_name,node_idx
DB00277,Theophylline,5840
DB00278,Argatroban,5841
DB00279,Liothyronine,5842
DB00280,Disopyramide,5843
DB00281,Lidocaine,5844
DB00282,Pamidronic acid,5845
DB00283,Clemastine,5846
DB00284,Acarbose,5847
DB00285,Venlafaxine,5848
DB00286,Conjugated estrogens,5849
DB00287,Travoprost,5850
DB00288,Amcinonide,5851
DB00289,Atomoxetine,5852
DB00290,Bleomycin,5853
DB00291,Chlorambucil,5854
DB00292,Etomidate,5855
DB00293,Raltitrexed,5856
DB00294,Etonogestrel,5857
DB00295,Morphine,5858
DB00296,Ropivacaine,5859
DB00297,Bupivacaine,5860
DB00298,Dapiprazole,5861
DB00300,Tenofovir disoproxil,5862
DB00301,Flucloxacillin,5863
DB00302,Tranexamic acid,5864
DB00304,Desogestrel,5865
DB00305,Mitomycin,5866
DB00306,Talbutal,5867
DB00307,Bexarotene,5868
DB00308,Ibutilide,5869
DB00309,Vindesine,5870
DB00310,Chlorthalidone,5871
DB00311,Ethoxzolamide,5872
DB00312,Pentobarbital,5873
DB00313,Valproic acid,5874
DB00315,Zolmitriptan,5875
DB00316,Acetaminophen,5876
DB00317,Gefitinib,5877
DB00318,Codeine,5878
DB00319,Piperacillin,5879
DB00320,Dihydroergotamine,5880
DB00321,Amitriptyline,5881
DB00322,Floxuridine,5882
DB00323,Tolcapone,5883
DB00324,Fluorometholone,5884
DB00325,Nitroprusside,5885
DB00327,Hydromorphone,5886
DB00328,Indomethacin,5887
DB00331,Metformin,5888
DB00332,Ipratropium,5889
DB00333,Methadone,5890
DB00334,Olanzapine,5891
DB00335,Atenolol,5892
DB00336,Nitrofural,5893
DB00337,Pimecrolimus,5894
DB00338,Omeprazole,5895
DB00339,Pyrazinamide,5896
DB00340,Metixene,5897
DB00341,Cetirizine,5898
DB00342,Terfenadine,5899
DB00343,Diltiazem,5900
DB00344,Protriptyline,5901
DB00345,Aminohippuric acid,5902
DB00346,Alfuzosin,5903
DB00347,Trimethadione,5904
DB00348,Nitisinone,5905
DB00349,Clobazam,5906
DB00350,Minoxidil,5907
DB00351,Megestrol acetate,5908
DB00352,Tioguanine,5909
DB00353,Methylergometrine,5910
DB00354,Buclizine,5911
DB00356,Chlorzoxazone,5912
DB00357,Aminoglutethimide,5913
DB00358,Mefloquine,5914
DB00359,Sulfadiazine,5915
DB00360,Sapropterin,5916
DB00361,Vinorelbine,5917
DB00363,Clozapine,5918
DB00364,Sucralfate,5919
DB00365,Grepafloxacin,5920
DB00366,Doxylamine,5921
DB00367,Levonorgestrel,5922
DB00368,Norepinephrine,5923
DB00369,Cidofovir,5924
DB00370,Mirtazapine,5925
DB00371,Meprobamate,5926
DB00372,Thiethylperazine,5927
DB00373,Timolol,5928
DB00374,Treprostinil,5929
DB00376,Trihexyphenidyl,5930
DB00377,Palonosetron,5931
DB00378,Dydrogesterone,5932
DB00379,Mexiletine,5933
DB00380,Dexrazoxane,5934
DB00381,Amlodipine,5935
DB00382,Tacrine,5936
DB00383,Oxyphencyclimine,5937
DB00384,Triamterene,5938
DB00385,Valrubicin,5939
DB00387,Procyclidine,5940
DB00388,Phenylephrine,5941
DB00389,Carbimazole,5942
DB00390,Digoxin,5943
DB00391,Sulpiride,5944
DB00392,Profenamine,5945
DB00393,Nimodipine,5946
DB00394,Beclomethasone dipropionate,5947
DB00395,Carisoprodol,5948
DB00396,Progesterone,5949
DB00397,Phenylpropanolamine,5950
DB00398,Sorafenib,5951
DB00399,Zoledronic acid,5952
DB00400,Griseofulvin,5953
DB00401,Nisoldipine,5954
DB00402,Eszopiclone,5955
DB00403,Ceruletide,5956
DB00404,Alprazolam,5957
DB00405,Dexbrompheniramine,5958
DB00406,Gentian violet cation,5959
DB00407,Ardeparin,5960
DB00408,Loxapine,5961
DB00409,Remoxipride,5962
DB00411,Carbamoylcholine,5963
DB00412,Rosiglitazone,5964
DB00413,Pramipexole,5965
DB00414,Acetohexamide,5966
DB00415,Ampicillin,5967
DB00416,Metocurine iodide,5968
DB00417,Phenoxymethylpenicillin,5969
DB00418,Secobarbital,5970
DB00419,Miglustat,5971
DB00420,Promazine,5972
DB00421,Spironolactone,5973
DB00422,Methylphenidate,5974
DB00423,Methocarbamol,5975
DB00424,Hyoscyamine,5976
DB00425,Zolpidem,5977
DB00426,Famciclovir,5978
DB00427,Triprolidine,5979
DB00428,Streptozocin,5980
DB00429,Carboprost tromethamine,5981
DB00430,Cefpiramide,5982
DB00431,Lindane,5983
DB00432,Trifluridine,5984
DB00433,Prochlorperazine,5985
DB00434,Cyproheptadine,5986
DB00435,Nitric Oxide,5987
DB00436,Bendroflumethiazide,5988
DB00437,Allopurinol,5989
DB00438,Ceftazidime,5990
DB00439,Cerivastatin,5991
DB00440,Trimethoprim,5992
DB00441,Gemcitabine,5993
DB00443,Betamethasone,5994
DB00444,Teniposide,5995
DB00445,Epirubicin,5996
DB00446,Chloramphenicol,5997
DB00447,Loracarbef,5998
DB00448,Lansoprazole,5999
DB00449,Dipivefrin,6000
DB00450,Droperidol,6001
DB00451,Levothyroxine,6002
DB00452,Framycetin,6003
DB00454,Meperidine,6004
DB00455,Loratadine,6005
DB00456,Cefalotin,6006
DB00457,Prazosin,6007
DB00458,Imipramine,6008
DB00459,Acitretin,6009
DB00461,Nabumetone,6010
DB00462,Methscopolamine bromide,6011
DB00463,Metharbital,6012
DB00464,Sodium tetradecyl sulfate,6013
DB00465,Ketorolac,6014
DB00466,Picrotoxin,6015
DB00467,Enoxacin,6016
DB00468,Quinine,6017
DB00469,Tenoxicam,6018
DB00470,Dronabinol,6019
DB00471,Montelukast,6020
DB00472,Fluoxetine,6021
DB00473,Hexylcaine,6022
DB00474,Methohexital,6023
DB00475,Chlordiazepoxide,6024
DB00476,Duloxetine,6025
DB00477,Chlorpromazine,6026
DB00480,Lenalidomide,6027
DB00481,Raloxifene,6028
DB00482,Celecoxib,6029
DB00483,Gallamine triethiodide,6030
DB00484,Brimonidine,6031
DB00485,Dicloxacillin,6032
DB00486,Nabilone,6033
DB00487,Pefloxacin,6034
DB00489,Sotalol,6035
DB00490,Buspirone,6036
DB00491,Miglitol,6037
DB00492,Fosinopril,6038
DB00493,Cefotaxime,6039
DB00494,Entacapone,6040
DB00495,Zidovudine,6041
DB00496,Darifenacin,6042
DB00497,Oxycodone,6043
DB00498,Phenindione,6044
DB00499,Flutamide,6045
DB00500,Tolmetin,6046
DB00501,Cimetidine,6047
DB00502,Haloperidol,6048
DB00503,Ritonavir,6049
DB00504,Levallorphan,6050
DB00505,Tridihexethyl,6051
DB00507,Nitazoxanide,6052
DB00508,Triflupromazine,6053
DB00509,Dextrothyroxine,6054
DB00511,Acetyldigitoxin,6055
DB00512,Vancomycin,6056
DB00513,Aminocaproic acid,6057
DB00514,Dextromethorphan,6058
DB00515,Cisplatin,6059
DB00517,Anisotropine methylbromide,6060
DB00518,Albendazole,6061
DB00519,Trandolapril,6062
DB00520,Caspofungin,6063
DB00521,Carteolol,6064
DB00522,Bentiromide,6065
DB00523,Alitretinoin,6066
DB00524,Metolazone,6067
DB00526,Oxaliplatin,6068
DB00527,Cinchocaine,6069
DB00528,Lercanidipine,6070
DB00529,Foscarnet,6071
DB00530,Erlotinib,6072
DB00531,Cyclophosphamide,6073
DB00532,Mephenytoin,6074
DB00533,Rofecoxib,6075
DB00534,Chlormerodrin,6076
DB00535,Cefdinir,6077
DB00536,Guanidine,6078
DB00537,Ciprofloxacin,6079
DB00539,Toremifene,6080
DB00540,Nortriptyline,6081
DB00541,Vincristine,6082
DB00542,Benazepril,6083
DB00543,Amoxapine,6084
DB00544,Fluorouracil,6085
DB00545,Pyridostigmine,6086
DB00546,Adinazolam,6087
DB00547,Desoximetasone,6088
DB00548,Azelaic acid,6089
DB00549,Zafirlukast,6090
DB00550,Propylthiouracil,6091
DB00551,Acetohydroxamic acid,6092
DB00552,Pentostatin,6093
DB00553,Methoxsalen,6094
DB00554,Piroxicam,6095
DB00555,Lamotrigine,6096
DB00557,Hydroxyzine,6097
DB00558,Zanamivir,6098
DB00559,Bosentan,6099
DB00561,Doxapram,6100
DB00562,Benzthiazide,6101
DB00563,Methotrexate,6102
DB00564,Carbamazepine,6103
DB00565,Cisatracurium,6104
DB00567,Cephalexin,6105
DB00568,Cinnarizine,6106
DB00569,Fondaparinux,6107
DB00570,Vinblastine,6108
DB00571,Propranolol,6109
DB00572,Atropine,6110
DB00573,Fenoprofen,6111
DB00574,Fenfluramine,6112
DB00575,Clonidine,6113
DB00576,Sulfamethizole,6114
DB00577,Valaciclovir,6115
DB00578,Carbenicillin,6116
DB00579,Mazindol,6117
DB00580,Valdecoxib,6118
DB00582,Voriconazole,6119
DB00583,Levocarnitine,6120
DB00584,Enalapril,6121
DB00585,Nizatidine,6122
DB00586,Diclofenac,6123
DB00587,Cinalukast,6124
DB00588,Fluticasone propionate,6125
DB00589,Lisuride,6126
DB00590,Doxazosin,6127
DB00591,Fluocinolone acetonide,6128
DB00592,Piperazine,6129
DB00593,Ethosuximide,6130
DB00594,Amiloride,6131
DB00595,Oxytetracycline,6132
DB00596,Ulobetasol,6133
DB00598,Labetalol,6134
DB00599,Thiopental,6135
DB00600,Monobenzone,6136
DB00601,Linezolid,6137
DB00602,Ivermectin,6138
DB00603,Medroxyprogesterone acetate,6139
DB00604,Cisapride,6140
DB00605,Sulindac,6141
DB00606,Cyclothiazide,6142
DB00607,Nafcillin,6143
DB00608,Chloroquine,6144
DB00610,Metaraminol,6145
DB00611,Butorphanol,6146
DB00612,Bisoprolol,6147
DB00613,Amodiaquine,6148
DB00614,Furazolidone,6149
DB00615,Rifabutin,6150
DB00616,Candoxatril,6151
DB00617,Paramethadione,6152
DB00618,Demeclocycline,6153
DB00619,Imatinib,6154
DB00620,Triamcinolone,6155
DB00621,Oxandrolone,6156
DB00622,Nicardipine,6157
DB00623,Fluphenazine,6158
DB00624,Testosterone,6159
DB00625,Efavirenz,6160
DB00626,Bacitracin,6161
DB00627,Niacin,6162
DB00628,Clorazepic acid,6163
DB00629,Guanabenz,6164
DB00630,Alendronic acid,6165
DB00631,Clofarabine,6166
DB00633,Dexmedetomidine,6167
DB00635,Prednisone,6168
DB00636,Clofibrate,6169
DB00637,Astemizole,6170
DB00640,Adenosine,6171
DB00641,Simvastatin,6172
DB00642,Pemetrexed,6173
DB00643,Mebendazole,6174
DB00644,Gonadorelin,6175
DB00645,Dyclonine,6176
DB00646,Nystatin,6177
DB00647,Dextropropoxyphene,6178
DB00648,Mitotane,6179
DB00649,Stavudine,6180
DB00650,Leucovorin,6181
DB00651,Dyphylline,6182
DB00652,Pentazocine,6183
DB00653,Magnesium sulfate,6184
DB00654,Latanoprost,6185
DB00655,Estrone,6186
DB00656,Trazodone,6187
DB00657,Mecamylamine,6188
DB00659,Acamprosate,6189
DB00661,Verapamil,6190
DB00663,Flumethasone,6191
DB00665,Nilutamide,6192
DB00666,Nafarelin,6193
DB00668,Epinephrine,6194
DB00669,Sumatriptan,6195
DB00670,Pirenzepine,6196
DB00671,Cefixime,6197
DB00672,Chlorpropamide,6198
DB00673,Aprepitant,6199
DB00674,Galantamine,6200
DB00675,Tamoxifen,6201
DB00677,Isoflurophate,6202
DB00678,Losartan,6203
DB00679,Thioridazine,6204
DB00680,Moricizine,6205
DB00681,Amphotericin B,6206
DB00682,Warfarin,6207
DB00683,Midazolam,6208
DB00685,Trovafloxacin,6209
DB00686,Pentosan polysulfate,6210
DB00687,Fludrocortisone,6211
DB00688,Mycophenolate mofetil,6212
DB00689,Cephaloglycin,6213
DB00690,Flurazepam,6214
DB00691,Moexipril,6215
DB00692,Phentolamine,6216
DB00693,Fluorescein,6217
DB00694,Daunorubicin,6218
DB00695,Furosemide,6219
DB00696,Ergotamine,6220
DB00697,Tizanidine,6221
DB00698,Nitrofurantoin,6222
DB00699,Nicergoline,6223
DB00700,Eplerenone,6224
DB00701,Amprenavir,6225
DB00702,Icodextrin,6226
DB00703,Methazolamide,6227
DB00704,Naltrexone,6228
DB00705,Delavirdine,6229
DB00706,Tamsulosin,6230
DB00707,Porfimer sodium,6231
DB00708,Sufentanil,6232
DB00709,Lamivudine,6233
DB00710,Ibandronate,6234
DB00711,Diethylcarbamazine,6235
DB00712,Flurbiprofen,6236
DB00713,Oxacillin,6237
DB00714,Apomorphine,6238
DB00715,Paroxetine,6239
DB00716,Nedocromil,6240
DB00717,Norethisterone,6241
DB00718,Adefovir dipivoxil,6242
DB00719,Azatadine,6243
DB00720,Clodronic acid,6244
DB00721,Procaine,6245
DB00722,Lisinopril,6246
DB00723,Methoxamine,6247
DB00724,Imiquimod,6248
DB00725,Homatropine methylbromide,6249
DB00726,Trimipramine,6250
DB00727,Nitroglycerin,6251
DB00728,Rocuronium,6252
DB00730,Thiabendazole,6253
DB00731,Nateglinide,6254
DB00732,Atracurium besylate,6255
DB00733,Pralidoxime,6256
DB00734,Risperidone,6257
DB00735,Naftifine,6258
DB00736,Esomeprazole,6259
DB00737,Meclizine,6260
DB00738,Pentamidine,6261
DB00740,Riluzole,6262
DB00741,Hydrocortisone,6263
DB00743,Gadobenic acid,6264
DB00744,Zileuton,6265
DB00745,Modafinil,6266
DB00746,Deferoxamine,6267
DB00747,Scopolamine,6268
DB00748,Carbinoxamine,6269
DB00749,Etodolac,6270
DB00750,Prilocaine,6271
DB00751,Epinastine,6272
DB00752,Tranylcypromine,6273
DB00753,Isoflurane,6274
DB00754,Ethotoin,6275
DB00755,Tretinoin,6276
DB00756,Hexachlorophene,6277
DB00757,Dolasetron,6278
DB00758,Clopidogrel,6279
DB00759,Tetracycline,6280
DB00761,Potassium chloride,6281
DB00762,Irinotecan,6282
DB00763,Methimazole,6283
DB00764,Mometasone,6284
DB00765,Metyrosine,6285
DB00766,Clavulanic acid,6286
DB00767,Benzquinamide,6287
DB00768,Olopatadine,6288
DB00769,Hydrocortamate,6289
DB00770,Alprostadil,6290
DB00771,Clidinium,6291
DB00772,Malathion,6292
DB00773,Etoposide,6293
DB00774,Hydroflumethiazide,6294
DB00775,Tirofiban,6295
DB00776,Oxcarbazepine,6296
DB00777,Propiomazine,6297
DB00778,Roxithromycin,6298
DB00779,Nalidixic acid,6299
DB00780,Phenelzine,6300
DB00781,Polymyxin B,6301
DB00782,Propantheline,6302
DB00783,Estradiol,6303
DB00784,Mefenamic acid,6304
DB00785,Cryptenamine,6305
DB00786,Marimastat,6306
DB00787,Acyclovir,6307
DB00788,Naproxen,6308
DB00789,Gadopentetic acid,6309
DB00790,Perindopril,6310
DB00792,Tripelennamine,6311
DB00794,Primidone,6312
DB00795,Sulfasalazine,6313
DB00796,Candesartan cilexetil,6314
DB00797,Tolazoline,6315
DB00798,Gentamicin,6316
DB00799,Tazarotene,6317
DB00800,Fenoldopam,6318
DB00801,Halazepam,6319
DB00802,Alfentanil,6320
DB00804,Dicyclomine,6321
DB00805,Minaprine,6322
DB00806,Pentoxifylline,6323
DB00807,Proparacaine,6324
DB00808,Indapamide,6325
DB00809,Tropicamide,6326
DB00810,Biperiden,6327
DB00811,Ribavirin,6328
DB00812,Phenylbutazone,6329
DB00813,Fentanyl,6330
DB00814,Meloxicam,6331
DB00815,Sodium lauryl sulfate,6332
DB00816,Orciprenaline,6333
DB00817,Rosoxacin,6334
DB00818,Propofol,6335
DB00819,Acetazolamide,6336
DB00820,Tadalafil,6337
DB00821,Carprofen,6338
DB00822,Disulfiram,6339
DB00823,Ethynodiol diacetate,6340
DB00824,Enprofylline,6341
DB00825,Levomenthol,6342
DB00826,Natamycin,6343
DB00827,Cinoxacin,6344
DB00829,Diazepam,6345
DB00830,Phenmetrazine,6346
DB00831,Trifluoperazine,6347
DB00833,Cefaclor,6348
DB00834,Mifepristone,6349
DB00835,Brompheniramine,6350
DB00836,Loperamide,6351
DB00837,Progabide,6352
DB00838,Clocortolone,6353
DB00839,Tolazamide,6354
DB00841,Dobutamine,6355
DB00842,Oxazepam,6356
DB00843,Donepezil,6357
DB00844,Nalbuphine,6358
DB00845,Clofazimine,6359
DB00846,Flurandrenolide,6360
DB00847,Cysteamine,6361
DB00848,Levamisole,6362
DB00849,Methylphenobarbital,6363
DB00850,Perphenazine,6364
DB00851,Dacarbazine,6365
DB00852,Pseudoephedrine,6366
DB00854,Levorphanol,6367
DB00855,Aminolevulinic acid,6368
DB00856,Chlorphenesin,6369
DB00857,Terbinafine,6370
DB00858,Drostanolone,6371
DB00859,Penicillamine,6372
DB00860,Prednisolone,6373
DB00861,Diflunisal,6374
DB00862,Vardenafil,6375
DB00863,Ranitidine,6376
DB00864,Tacrolimus,6377
DB00865,Benzphetamine,6378
DB00866,Alprenolol,6379
DB00867,Ritodrine,6380
DB00868,Benzonatate,6381
DB00869,Dorzolamide,6382
DB00870,Suprofen,6383
DB00871,Terbutaline,6384
DB00872,Conivaptan,6385
DB00874,Guaifenesin,6386
DB00875,Flupentixol,6387
DB00876,Eprosartan,6388
DB00877,Sirolimus,6389
DB00878,Chlorhexidine,6390
DB00879,Emtricitabine,6391
DB00880,Chlorothiazide,6392
DB00881,Quinapril,6393
DB00882,Clomifene,6394
DB00883,Isosorbide dinitrate,6395
DB00884,Risedronic acid,6396
DB00886,Omapatrilat,6397
DB00887,Bumetanide,6398
DB00888,Mechlorethamine,6399
DB00889,Granisetron,6400
DB00890,Dienestrol,6401
DB00891,Sulfapyridine,6402
DB00892,Oxybuprocaine,6403
DB00893,Iron Dextran,6404
DB00894,Testolactone,6405
DB00895,Benzylpenicilloyl polylysine,6406
DB00896,Rimexolone,6407
DB00897,Triazolam,6408
DB00898,Ethanol,6409
DB00899,Remifentanil,6410
DB00900,Didanosine,6411
DB00901,Bitolterol,6412
DB00902,Methdilazine,6413
DB00903,Etacrynic acid,6414
DB00904,Ondansetron,6415
DB00905,Bimatoprost,6416
DB00906,Tiagabine,6417
DB00907,Cocaine,6418
DB00908,Quinidine,6419
DB00909,Zonisamide,6420
DB00910,Paricalcitol,6421
DB00911,Tinidazole,6422
DB00912,Repaglinide,6423
DB00913,Anileridine,6424
DB00914,Phenformin,6425
DB00915,Amantadine,6426
DB00916,Metronidazole,6427
DB00917,Dinoprostone,6428
DB00918,Almotriptan,6429
DB00920,Ketotifen,6430
DB00921,Buprenorphine,6431
DB00922,Levosimendan,6432
DB00924,Cyclobenzaprine,6433
DB00925,Phenoxybenzamine,6434
DB00926,Etretinate,6435
DB00927,Famotidine,6436
DB00928,Azacitidine,6437
DB00929,Misoprostol,6438
DB00931,Metacycline,6439
DB00932,Tipranavir,6440
DB00933,Mesoridazine,6441
DB00934,Maprotiline,6442
DB00935,Oxymetazoline,6443
DB00936,Salicylic acid,6444
DB00937,Diethylpropion,6445
DB00938,Salmeterol,6446
DB00939,Meclofenamic acid,6447
DB00940,Methantheline,6448
DB00941,Hexafluronium,6449
DB00942,Cycrimine,6450
DB00943,Zalcitabine,6451
DB00944,Demecarium,6452
DB00945,Acetylsalicylic acid,6453
DB00946,Phenprocoumon,6454
DB00947,Fulvestrant,6455
DB00949,Felbamate,6456
DB00950,Fexofenadine,6457
DB00951,Isoniazid,6458
DB00952,Naratriptan,6459
DB00953,Rizatriptan,6460
DB00954,Dirithromycin,6461
DB00956,Hydrocodone,6462
DB00957,Norgestimate,6463
DB00958,Carboplatin,6464
DB00959,Methylprednisolone,6465
DB00960,Pindolol,6466
DB00961,Mepivacaine,6467
DB00962,Zaleplon,6468
DB00963,Bromfenac,6469
DB00964,Apraclonidine,6470
DB00966,Telmisartan,6471
DB00967,Desloratadine,6472
DB00968,Methyldopa,6473
DB00969,Alosetron,6474
DB00970,Dactinomycin,6475
DB00972,Azelastine,6476
DB00973,Ezetimibe,6477
DB00974,Edetic acid,6478
DB00975,Dipyridamole,6479
DB00976,Telithromycin,6480
DB00977,Ethinylestradiol,6481
DB00978,Lomefloxacin,6482
DB00979,Cyclopentolate,6483
DB00980,Ramelteon,6484
DB00981,Physostigmine,6485
